@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
111,27,0,13,122,0.096296,1,0.675,1,0.325,0.80597,0.246914,4.05,0.00351
112,27,0,12,123,0.088889,1,0.692308,1,0.307692,0.818182,0.240741,4.153846,0.009455
113,26,1,12,123,0.088889,0.962963,0.684211,0.962963,0.315789,0.8,0.234568,4.105263,0.561927
114,26,1,11,124,0.081481,0.962963,0.702703,0.962963,0.297297,0.8125,0.228395,4.216216,0.707694
115,26,1,10,125,0.074074,0.962963,0.722222,0.962963,0.277778,0.825397,0.222222,4.333333,0.725667
116,26,1,9,126,0.066667,0.962963,0.742857,0.962963,0.257143,0.83871,0.216049,4.457143,0.813437
117,26,1,8,127,0.059259,0.962963,0.764706,0.962963,0.235294,0.852459,0.209877,4.588235,0.992659
118,26,1,7,128,0.051852,0.962963,0.787879,0.962963,0.212121,0.866667,0.203704,4.727273,0.998282
119,25,2,7,128,0.051852,0.925926,0.78125,0.925926,0.21875,0.847458,0.197531,4.6875,0.999315
120,24,3,7,128,0.051852,0.888889,0.774194,0.888889,0.225806,0.827586,0.191358,4.645161,0.999534
121,24,3,6,129,0.044444,0.888889,0.8,0.888889,0.2,0.842105,0.185185,4.8,0.999837
122,23,4,6,129,0.044444,0.851852,0.793103,0.851852,0.206897,0.821429,0.179012,4.758621,0.999923
123,22,5,6,129,0.044444,0.814815,0.785714,0.814815,0.214286,0.8,0.17284,4.714286,0.999976
124,21,6,6,129,0.044444,0.777778,0.777778,0.777778,0.222222,0.777778,0.166667,4.666667,0.999982
125,20,7,6,129,0.044444,0.740741,0.769231,0.740741,0.230769,0.754717,0.160494,4.615385,0.999992
126,19,8,6,129,0.044444,0.703704,0.76,0.703704,0.24,0.730769,0.154321,4.56,0.999998
127,18,9,6,129,0.044444,0.666667,0.75,0.666667,0.25,0.705882,0.148148,4.5,0.999999
128,17,10,6,129,0.044444,0.62963,0.73913,0.62963,0.26087,0.68,0.141975,4.434783,1
129,17,10,5,130,0.037037,0.62963,0.772727,0.62963,0.227273,0.693878,0.135802,4.636364,1
130,16,11,5,130,0.037037,0.592593,0.761905,0.592593,0.238095,0.666667,0.12963,4.571429,1
131,16,11,4,131,0.02963,0.592593,0.8,0.592593,0.2,0.680851,0.123457,4.8,1
132,15,12,4,131,0.02963,0.555556,0.789474,0.555556,0.210526,0.652174,0.117284,4.736842,1
133,14,13,4,131,0.02963,0.518519,0.777778,0.518519,0.222222,0.622222,0.111111,4.666667,1
134,13,14,4,131,0.02963,0.481481,0.764706,0.481481,0.235294,0.590909,0.104938,4.588235,1
135,12,15,4,131,0.02963,0.444444,0.75,0.444444,0.25,0.55814,0.098765,4.5,1
136,12,15,3,132,0.022222,0.444444,0.8,0.444444,0.2,0.571429,0.092593,4.8,1
137,11,16,3,132,0.022222,0.407407,0.785714,0.407407,0.214286,0.536585,0.08642,4.714286,1
138,11,16,2,133,0.014815,0.407407,0.846154,0.407407,0.153846,0.55,0.080247,5.076923,1
139,11,16,1,134,0.007407,0.407407,0.916667,0.407407,0.083333,0.564103,0.074074,5.5,1
140,10,17,1,134,0.007407,0.37037,0.909091,0.37037,0.090909,0.526316,0.067901,5.454545,1
141,9,18,1,134,0.007407,0.333333,0.9,0.333333,0.1,0.486486,0.061728,5.4,1
142,8,19,1,134,0.007407,0.296296,0.888889,0.296296,0.111111,0.444444,0.055556,5.333333,1
143,7,20,1,134,0.007407,0.259259,0.875,0.259259,0.125,0.4,0.049383,5.25,1
144,7,20,0,135,0,0.259259,1,0.259259,0,0.411765,0.04321,6,1
145,6,21,0,135,0,0.222222,1,0.222222,0,0.363636,0.037037,6,1
146,5,22,0,135,0,0.185185,1,0.185185,0,0.3125,0.030864,?,1
147,4,23,0,135,0,0.148148,1,0.148148,0,0.258065,0.024691,?,1
148,3,24,0,135,0,0.111111,1,0.111111,0,0.2,0.018519,?,1
149,2,25,0,135,0,0.074074,1,0.074074,0,0.137931,0.012346,?,1
150,1,26,0,135,0,0.037037,1,0.037037,0,0.071429,0.006173,?,1
151,0,27,0,135,0,0,0,0,0,0,0,?,1.00001
